dup_var_name,Type,dev-cat,CIP_code,VALUE,LABEL,developer-friendly name
SATVR25,num,admissions,NA,NA,NA,sat_scores.25th_percentile.critical_reading
SATVR75,num,admissions,NA,NA,NA,sat_scores.75th_percentile.critical_reading
SATMT25,num,admissions,NA,NA,NA,sat_scores.25th_percentile.math
SATMT75,num,admissions,NA,NA,NA,sat_scores.75th_percentile.math
SATVRMID,num,admissions,NA,NA,NA,sat_scores.midpoint.critical_reading
SATMTMID,num,admissions,NA,NA,NA,sat_scores.midpoint.math
ACTCM25,num,admissions,NA,NA,NA,act_scores.25th_percentile.cumulative
ACTCM75,num,admissions,NA,NA,NA,act_scores.75th_percentile.cumulative
ACTEN25,num,admissions,NA,NA,NA,act_scores.25th_percentile.english
ACTEN75,num,admissions,NA,NA,NA,act_scores.75th_percentile.english
ACTMT25,num,admissions,NA,NA,NA,act_scores.25th_percentile.math
ACTMT75,num,admissions,NA,NA,NA,act_scores.75th_percentile.math
ACTCMMID,num,admissions,NA,NA,NA,act_scores.midpoint.cumulative
ACTENMID,num,admissions,NA,NA,NA,act_scores.midpoint.english
ACTMTMID,num,admissions,NA,NA,NA,act_scores.midpoint.math
SAT_AVG,num,admissions,NA,NA,NA,sat_scores.average.overall
SAT_AVG_ALL,num,admissions,NA,NA,NA,sat_scores.average.by_ope_id
PCIP01,num,academics,1,NA,"Agriculture, Agriculture Operations, and Related Sciences",program_percentage.agriculture
PCIP03,num,academics,3,NA,Natural Resources and Conservation,program_percentage.resources
PCIP04,num,academics,4,NA,Architecture and Related Services,program_percentage.architecture
PCIP05,num,academics,5,NA,"Area, Ethnic, Cultural, Gender, and Group Studies",program_percentage.ethnic_cultural_gender
PCIP09,num,academics,9,NA,"Communication, Journalism, and Related Programs",program_percentage.communication
PCIP10,num,academics,10,NA,Communications Technologies/Technicians and Support Services,program_percentage.communications_technology
PCIP11,num,academics,11,NA,Computer and Information Sciences and Support Services,program_percentage.computer
PCIP12,num,academics,12,NA,Personal and Culinary Services,program_percentage.personal_culinary
PCIP13,num,academics,13,NA,Education,program_percentage.education
PCIP14,num,academics,14,NA,Engineering,program_percentage.engineering
PCIP15,num,academics,15,NA,Engineering Technologies and Engineering-Related Fields,program_percentage.engineering_technology
PCIP16,num,academics,16,NA,"Foreign Languages, Literatures, and Linguistics",program_percentage.language
PCIP19,num,academics,19,NA,Family and Consumer Sciences/Human Sciences,program_percentage.family_consumer_science
PCIP22,num,academics,22,NA,Legal Professions and Studies,program_percentage.legal
PCIP23,num,academics,23,NA,English Language and Literature/Letters,program_percentage.english
PCIP24,num,academics,24,NA,"Liberal Arts and Sciences, General Studies and Humanities",program_percentage.humanities
PCIP25,num,academics,25,NA,Library Science,program_percentage.library
PCIP26,num,academics,26,NA,Biological and Biomedical Sciences,program_percentage.biological
PCIP27,num,academics,27,NA,Mathematics and Statistics,program_percentage.mathematics
PCIP29,num,academics,29,NA,Military Technologies and Applied Sciences,program_percentage.military
PCIP30,num,academics,30,NA,Multi/Interdisciplinary Studies,program_percentage.multidiscipline
PCIP31,num,academics,31,NA,"Parks, Recreation, Leisure, and Fitness Studies",program_percentage.parks_recreation_fitness
PCIP38,num,academics,38,NA,Philosophy and Religious Studies,program_percentage.philosophy_religious
PCIP39,num,academics,39,NA,Theology and Religious Vocations,program_percentage.theology_religious_vocation
PCIP40,num,academics,40,NA,Physical Sciences,program_percentage.physical_science
PCIP41,num,academics,41,NA,Science Technologies/Technicians,program_percentage.science_technology
PCIP42,num,academics,42,NA,Psychology,program_percentage.psychology
