NUM_PELL_STUDENT,NUM_PELL_STUDENT = PCTPELL * D_PCTPELL_PCTFLOAN
NUM_PTFT_STUDENT,NUM_PTFT_STUDENT = GRAD8_PTFT + STILL_ENRL8_PTFT + TRANSFER8_PTFT + STATUS_UNKN_PTFT
NUM_PTNFT_STUDENT,NUM_PTNFT_STUDENT = GRAD8_PTNFT + STILL_ENRL8_PTNFT + TRANSFER8_PTNFT + STATUS_UNKN_PTNFT
NUM_STATUS_UNKN_FIRSTTIME,NUM_STATUS_UNKN_FIRSTTIME = OMENRUP_FIRSTTIME * NUM_FIRSTTIME_STUDENT
NUM_STATUS_UNKN_FTFT,NUM_STATUS_UNKN_FTFT = OMENRUP8_FTFT * OMACHT8_FTFT
NUM_STATUS_UNKN_FTNFT,NUM_STATUS_UNKN_FTNFT = OMENRUP8_FTNFT * OMACHT8_FTNFT
NUM_STATUS_UNKN_FULLTIME,NUM_STATUS_UNKN_FULLTIME = OMENRUP_FULLTIME * NUM_FULLTIME_STUDENT
NUM_STATUS_UNKN_NOFIRSTTIME,NUM_STATUS_UNKN_NOFIRSTTIME = OMENRUP_NOTFIRSTTIME * NUM_NOTFIRSTTIME_STUDENT
NUM_STILL_ENRL11_FULLTIME,NUM_STILL_ENRL11_FULLTIME = OMENRYP_FULLTIME * NUM_FULLTIME_STUDENT
NUM_STILL_ENRL8_FIRSTTIME,NUM_STILL_ENRL8_FIRSTTIME = OMENRYP_FIRSTTIME * NUM_FIRSTTIME_STUDENT
NUM_STILL_ENRL8_FTFT,NUM_STILL_ENRL8_FTFT = OMENRYP8_FTFT * OMACHT8_FTFT
NUM_STILL_ENRL8_FTNFT,NUM_STILL_ENRL8_FTNFT = OMENRYP8_FTNFT * OMACHT8_FTNFT
NUM_STILL_ENRL8_NOFIRSTTIME,NUM_STILL_ENRL8_NOFIRSTTIME = OMENRYP_NOTFIRSTTIME * NUM_NOTFIRSTTIME_STUDENT
NUM_STUDENT_FT_plus_NFT,NUM_STUDENT_FT_plus_NFT = NUM_FIRSTTIME_STUDENT + NUM_NOTFIRSTTIME_STUDENT
NUM_STUDENT_FT_plus_PT,NUM_STUDENT_FT_plus_PT = NUM_FULLTIME_STUDENT + NUM_PARTIME_STUDENT
NUM_TRANSFER8_FULLTIME,NUM_TRANSFER8_FULLTIME = OMENRAP_FULLTIME * NUM_FULLTIME_STUDENT
NUM_TRANSFER8_FIRSTTIME,NUM_TRANSFER8_FIRSTTIME = OMENRAP_FIRSTTIME * NUM_FIRSTTIME_STUDENT
NUM_TRANSFER8_FTFT,NUM_TRANSFER8_FTFT = OMENRAP8_FTFT * OMACHT8_FTFT
NUM_TRANSFER8_FTNFT,NUM_TRANSFER8_FTNFT = OMENRAP8_FTNFT * OMACHT8_FTNFT
NUM_TRANSFER8_NOFIRSTTIME,NUM_TRANSFER8_NOFIRSTTIME = OMENRAP_NOTFIRSTTIME * NUM_NOTFIRSTTIME_STUDENT
