Variable,n,nmiss,n_pct,nmiss_pct,Type,dev_cat,Definition
PLUS_DEBT_INST_NOSTAFFANY_N,879,5000,0.14951522367749617,0.8504847763225039,integer,aid,Student recipient count for median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at any institution
PLUS_DEBT_INST_NOSTAFFANY_MD,506,5373,0.0860690593638374,0.9139309406361626,integer,aid,Median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at any institution
PLUS_DEBT_ALL_NOSTAFFANY_N,1516,4363,0.25786698418098314,0.7421330158190168,integer,aid,Student recipient count for median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at any institution
PLUS_DEBT_ALL_NOSTAFFANY_MD,928,4951,0.1578499744854567,0.8421500255145433,integer,aid,Median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at any institution
LPSTAFFORD_CNT,5559,320,0.9455689743153598,0.05443102568464025,integer,aid,Number of borrowers with outstanding federal Direct Loan balances
LPSTAFFORD_AMT,5559,320,0.9455689743153598,0.05443102568464025,num,aid,Total outstanding federal Direct Loan balance
LPPPLUS_CNT,4465,1414,0.7594829052559959,0.2405170947440041,integer,aid,Number of students associated with outstanding Parent PLUS Loan balances
LPPPLUS_AMT,4465,1414,0.7594829052559959,0.2405170947440041,num,aid,Total outstanding Parent PLUS Loan balance
LPGPLUS_CNT,1377,4502,0.23422350739921757,0.7657764926007824,integer,aid,Number of students associated with outstanding Grad PLUS Loan balances
LPGPLUS_AMT,1377,4502,0.23422350739921757,0.7657764926007824,num,aid,Total outstanding Grad PLUS Loan balance
PELLCAT,5879,0,1,0,factor,created,NA
