Variable,n,nmiss,n_pct,nmiss_pct,miss_less_42.8%,Type,dev_cat,Definition,code,var1,var2,var3,var4
PLUS_DEBT_ALL_MD,4319,1560,73.46%,26.54%,1,integer,aid,Median PLUS loan debt disbursed at all institutions,,,,,
DBRR4_FED_UGNOCOMP_N,4302,1577,73.18%,26.82%,1,integer,repayment,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 4-year repayment rate borrower count,,,,,
DBRR4_FED_UGNOCOMP_NUM,4302,1577,73.18%,26.82%,1,num,repayment,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 4-year repayment rate numerator,,,,,
DBRR4_FED_UGNOCOMP_DEN,4302,1577,73.18%,26.82%,1,num,repayment,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 4-year repayment rate denominator,,,,,
DBRR4_FED_UGNOCOMP_RT,4302,1577,73.18%,26.82%,1,num,repayment,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 4-year repayment rate repayment rate,,,,,
FIRSTGEN_DEBT_MDN,4238,1641,72.09%,27.91%,1,num,aid,The median debt for first-generation students,,,,,
NOTFIRSTGEN_DEBT_MDN,4238,1641,72.09%,27.91%,1,num,aid,The median debt for not-first-generation students,,,,,
FEMALE_DEBT_MDN,4110,1769,69.91%,30.09%,1,num,aid,The median debt for female students,,,,,
MALE_DEBT_MDN,4110,1769,69.91%,30.09%,1,num,aid,The median debt for male students,,,,,
BBRR2_FED_UG_DFR,4051,1828,68.91%,31.09%,1,num,repayment,Percentage of undergraduate federal student loan borrowers in deferment after 2 years,,,,,
MD_INC_DEBT_MDN,3991,1888,67.89%,32.11%,1,num,aid,"The median debt for students with family income between $30,001-$75,000",,,,,
HI_INC_DEBT_MDN,3985,1894,67.78%,32.22%,1,num,aid,"The median debt for students with family income $75,001+",,,,,
DBRR20_FED_UG_N,3980,1899,67.70%,32.30%,1,integer,repayment,Undergraduate federal student loan dollar-based 20-year repayment rate borrower count,,,,,
DBRR20_FED_UG_NUM,3980,1899,67.70%,32.30%,1,num,repayment,Undergraduate federal student loan dollar-based 20-year repayment rate numerator,,,,,
DBRR20_FED_UG_DEN,3980,1899,67.70%,32.30%,1,num,repayment,Undergraduate federal student loan dollar-based 20-year repayment rate denominator,,,,,
DBRR20_FED_UG_RT,3980,1899,67.70%,32.30%,1,num,repayment,Undergraduate federal student loan dollar-based 20-year repayment rate,,,,,
PLUS_DEBT_ALL_PELL_N,3958,1921,67.32%,32.68%,1,integer,aid,Student recipient count for median PLUS loan debt disbursed to Pell recipients at all institutions,,,,,
PLUS_DEBT_ALL_NOPELL_N,3958,1921,67.32%,32.68%,1,integer,aid,Student recipient count for median PLUS loan debt disbursed to non-Pell-recipients at all institutions,,,,,
PLUS_DEBT_ALL_COMP_N,3820,2059,64.98%,35.02%,1,integer,aid,Student recipient count for median PLUS loan debt disbursed to completers at all institutions,,,,,
PLUS_DEBT_ALL_NOCOMP_N,3820,2059,64.98%,35.02%,1,integer,aid,Student recipient count for median PLUS loan debt disbursed to non-completers at all institutions,,,,,
BBRR2_FED_UG_DFLT,3819,2060,64.96%,35.04%,1,num,repayment,Percentage of undergraduate federal student loan borrowers in default after 2 years,,,,,
PLUS_DEBT_INST_N,3776,2103,64.23%,35.77%,1,integer,aid,Student recipient count for median PLUS loan debt disbursed at this institution,,,,,
BBRR2_FED_UGCOMP_NOPROG,3757,2122,63.91%,36.09%,1,num,repayment,Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 2 years,,,,,
DBRR1_PP_UG_N,3708,2171,63.07%,36.93%,1,integer,repayment,Undergraduate Parent PLUS Loan dollar-based 1-year repayment rate borrower count,,,,,
DBRR1_PP_UG_NUM,3708,2171,63.07%,36.93%,1,num,repayment,Undergraduate Parent PLUS Loan dollar-based 1-year repayment rate numerator,,,,,
DBRR1_PP_UG_DEN,3708,2171,63.07%,36.93%,1,num,repayment,Undergraduate Parent PLUS Loan dollar-based 1-year repayment rate denominator,,,,,
DBRR1_PP_UG_RT,3708,2171,63.07%,36.93%,1,num,repayment,Undergraduate Parent PLUS Loan dollar-based 1-year repayment rate,,,,,
OMACHT6_FTFT,3675,2204,62.51%,37.49%,1,integer,completion,"Adjusted cohort count of full-time, first-time students (denominator for the percentage receiving an award within 6 years of entry)",,,,,
OMACHT8_FTFT,3675,2204,62.51%,37.49%,1,integer,completion,"Adjusted cohort count of full-time, first-time students (denominator for the 8-year outcomes percentages)",,,,,
OMACHT6_PTFT,3675,2204,62.51%,37.49%,1,integer,completion,"Adjusted cohort count of part-time, first-time students (denominator for the percentage receiving an award within 6 years of entry)",,,,,
