i,dup_var_name,Variable,Type,dev-cat,CIP_code,VALUE,LABEL,developer-friendly name
786,FTFTPCTFLOAN,FTFTPCTFLOAN,num,aid,NA,NA,NA,ftft_federal_loan_rate
787,UG12MN,UG12MN,integer,student,NA,NA,NA,enrollment.undergrad_12_month
788,G12MN,G12MN,integer,student,NA,NA,NA,enrollment.grad_12_month
789,SCUGFFN,SCUGFFN,integer,student,NA,NA,NA,ftft_undergrads_with_pell_grant_or_federal_student_loan
790,PPLUS_PCT_LOW,PPLUS_PCT_LOW,integer,aid,NA,NA,NA,plus_loan_pct_lower
791,PPLUS_PCT_HIGH,PPLUS_PCT_HIGH,integer,aid,NA,NA,NA,plus_loan_pct_upper
792,PLUS_DEBT_INST_N,PLUS_DEBT_INST_N,integer,aid,NA,NA,NA,plus_debt.all.eval_inst.count
793,PLUS_DEBT_INST_MD,PLUS_DEBT_INST_MD,integer,aid,NA,NA,NA,plus_debt.all.eval_inst.median
794,PLUS_DEBT_ALL_N,PLUS_DEBT_ALL_N,integer,aid,NA,NA,NA,plus_debt.all.all_inst.count
795,PLUS_DEBT_ALL_MD,PLUS_DEBT_ALL_MD,integer,aid,NA,NA,NA,plus_debt.all.all_inst.median
796,PLUS_DEBT_INST_COMP_N,PLUS_DEBT_INST_COMP_N,integer,aid,NA,NA,NA,plus_debt.completers.eval_inst.count
797,PLUS_DEBT_INST_COMP_MD,PLUS_DEBT_INST_COMP_MD,integer,aid,NA,NA,NA,plus_debt.completers.eval_inst.median
798,PLUS_DEBT_INST_COMP_MDPAY10,PLUS_DEBT_INST_COMP_MDPAY10,num,aid,NA,NA,NA,plus_debt.completers.eval_inst.median_payment
799,PLUS_DEBT_ALL_COMP_N,PLUS_DEBT_ALL_COMP_N,integer,aid,NA,NA,NA,plus_debt.completers.all_inst.count
800,PLUS_DEBT_ALL_COMP_MD,PLUS_DEBT_ALL_COMP_MD,integer,aid,NA,NA,NA,plus_debt.completers.all_inst.median
801,PLUS_DEBT_ALL_COMP_MDPAY10,PLUS_DEBT_ALL_COMP_MDPAY10,num,aid,NA,NA,NA,plus_debt.completers.all_inst.median_payment
802,PLUS_DEBT_INST_NOCOMP_N,PLUS_DEBT_INST_NOCOMP_N,integer,aid,NA,NA,NA,plus_debt.noncompleters.eval_inst.count
803,PLUS_DEBT_INST_NOCOMP_MD,PLUS_DEBT_INST_NOCOMP_MD,integer,aid,NA,NA,NA,plus_debt.noncompleters.eval_inst.median
804,PLUS_DEBT_ALL_NOCOMP_N,PLUS_DEBT_ALL_NOCOMP_N,integer,aid,NA,NA,NA,plus_debt.noncompleters.all_inst.count
805,PLUS_DEBT_ALL_NOCOMP_MD,PLUS_DEBT_ALL_NOCOMP_MD,integer,aid,NA,NA,NA,plus_debt.noncompleters.all_inst.median
806,PLUS_DEBT_INST_MALE_N,PLUS_DEBT_INST_MALE_N,integer,aid,NA,NA,NA,plus_debt.male.eval_inst.count
807,PLUS_DEBT_INST_MALE_MD,PLUS_DEBT_INST_MALE_MD,integer,aid,NA,NA,NA,plus_debt.male.eval_inst.median
808,PLUS_DEBT_ALL_MALE_N,PLUS_DEBT_ALL_MALE_N,integer,aid,NA,NA,NA,plus_debt.male.all_inst.count
809,PLUS_DEBT_ALL_MALE_MD,PLUS_DEBT_ALL_MALE_MD,integer,aid,NA,NA,NA,plus_debt.male.all_inst.median
810,PLUS_DEBT_INST_NOMALE_N,PLUS_DEBT_INST_NOMALE_N,integer,aid,NA,NA,NA,plus_debt.not_male.eval_inst.count
811,PLUS_DEBT_INST_NOMALE_MD,PLUS_DEBT_INST_NOMALE_MD,integer,aid,NA,NA,NA,plus_debt.not_male.eval_inst.median
812,PLUS_DEBT_ALL_NOMALE_N,PLUS_DEBT_ALL_NOMALE_N,integer,aid,NA,NA,NA,plus_debt.not_male.all_inst.count
813,PLUS_DEBT_ALL_NOMALE_MD,PLUS_DEBT_ALL_NOMALE_MD,integer,aid,NA,NA,NA,plus_debt.not_male.all_inst.median
814,PLUS_DEBT_INST_PELL_N,PLUS_DEBT_INST_PELL_N,integer,aid,NA,NA,NA,plus_debt.pell.eval_inst.count
815,PLUS_DEBT_INST_PELL_MD,PLUS_DEBT_INST_PELL_MD,integer,aid,NA,NA,NA,plus_debt.pell.eval_inst.median
816,PLUS_DEBT_ALL_PELL_N,PLUS_DEBT_ALL_PELL_N,integer,aid,NA,NA,NA,plus_debt.pell.all_inst.count
817,PLUS_DEBT_ALL_PELL_MD,PLUS_DEBT_ALL_PELL_MD,integer,aid,NA,NA,NA,plus_debt.pell.all_inst.median
818,PLUS_DEBT_INST_NOPELL_N,PLUS_DEBT_INST_NOPELL_N,integer,aid,NA,NA,NA,plus_debt.not_pell.eval_inst.count
819,PLUS_DEBT_INST_NOPELL_MD,PLUS_DEBT_INST_NOPELL_MD,integer,aid,NA,NA,NA,plus_debt.not_pell.eval_inst.median
820,PLUS_DEBT_ALL_NOPELL_N,PLUS_DEBT_ALL_NOPELL_N,integer,aid,NA,NA,NA,plus_debt.not_pell.all_inst.count
821,PLUS_DEBT_ALL_NOPELL_MD,PLUS_DEBT_ALL_NOPELL_MD,integer,aid,NA,NA,NA,plus_debt.not_pell.all_inst.median
822,PLUS_DEBT_INST_STAFFTHIS_N,PLUS_DEBT_INST_STAFFTHIS_N,integer,aid,NA,NA,NA,plus_debt.stafford_this_school.eval_inst.count
823,PLUS_DEBT_INST_STAFFTHIS_MD,PLUS_DEBT_INST_STAFFTHIS_MD,integer,aid,NA,NA,NA,plus_debt.stafford_this_school.eval_inst.median
824,PLUS_DEBT_ALL_STAFFTHIS_N,PLUS_DEBT_ALL_STAFFTHIS_N,integer,aid,NA,NA,NA,plus_debt.stafford_this_school.all_inst.count
825,PLUS_DEBT_ALL_STAFFTHIS_MD,PLUS_DEBT_ALL_STAFFTHIS_MD,integer,aid,NA,NA,NA,plus_debt.stafford_this_school.all_inst.median
826,PLUS_DEBT_INST_NOSTAFFTHIS_N,PLUS_DEBT_INST_NOSTAFFTHIS_N,integer,aid,NA,NA,NA,plus_debt.nostafford_this_school.eval_inst.count
827,PLUS_DEBT_INST_NOSTAFFTHIS_MD,PLUS_DEBT_INST_NOSTAFFTHIS_MD,integer,aid,NA,NA,NA,plus_debt.nostafford_this_school.eval_inst.median
828,PLUS_DEBT_ALL_NOSTAFFTHIS_N,PLUS_DEBT_ALL_NOSTAFFTHIS_N,integer,aid,NA,NA,NA,plus_debt.nostafford_this_school.all_inst.count
829,PLUS_DEBT_ALL_NOSTAFFTHIS_MD,PLUS_DEBT_ALL_NOSTAFFTHIS_MD,integer,aid,NA,NA,NA,plus_debt.nostafford_this_school.all_inst.median
830,PLUS_DEBT_INST_STAFFANY_N,PLUS_DEBT_INST_STAFFANY_N,integer,aid,NA,NA,NA,plus_debt.stafford_any_school.eval_inst.count
831,PLUS_DEBT_INST_STAFFANY_MD,PLUS_DEBT_INST_STAFFANY_MD,integer,aid,NA,NA,NA,plus_debt.stafford_any_school.eval_inst.median
832,PLUS_DEBT_ALL_STAFFANY_N,PLUS_DEBT_ALL_STAFFANY_N,integer,aid,NA,NA,NA,plus_debt.stafford_any_school.all_inst.count
833,PLUS_DEBT_ALL_STAFFANY_MD,PLUS_DEBT_ALL_STAFFANY_MD,integer,aid,NA,NA,NA,plus_debt.stafford_any_school.all_inst.median
834,PLUS_DEBT_INST_NOSTAFFANY_N,PLUS_DEBT_INST_NOSTAFFANY_N,integer,aid,NA,NA,NA,plus_debt.nostafford_any_school.eval_inst.count
835,PLUS_DEBT_INST_NOSTAFFANY_MD,PLUS_DEBT_INST_NOSTAFFANY_MD,integer,aid,NA,NA,NA,plus_debt.nostafford_any_school.eval_inst.median
836,PLUS_DEBT_ALL_NOSTAFFANY_N,PLUS_DEBT_ALL_NOSTAFFANY_N,integer,aid,NA,NA,NA,plus_debt.nostafford_any_school.all_inst.count
837,PLUS_DEBT_ALL_NOSTAFFANY_MD,PLUS_DEBT_ALL_NOSTAFFANY_MD,integer,aid,NA,NA,NA,plus_debt.nostafford_any_school.all_inst.median
838,DBRR1_FED_UG_N,DBRR1_FED_UG_N,integer,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug.count
839,DBRR1_FED_UG_NUM,DBRR1_FED_UG_NUM,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug.numerator
840,DBRR1_FED_UG_DEN,DBRR1_FED_UG_DEN,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug.denominator
841,DBRR1_FED_UG_RT,DBRR1_FED_UG_RT,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug.rate
842,DBRR1_FED_GR_N,DBRR1_FED_GR_N,integer,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr.count
843,DBRR1_FED_GR_NUM,DBRR1_FED_GR_NUM,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr.numerator
844,DBRR1_FED_GR_DEN,DBRR1_FED_GR_DEN,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr.denominator
845,DBRR1_FED_GR_RT,DBRR1_FED_GR_RT,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr.rate
846,DBRR1_FED_UGCOMP_N,DBRR1_FED_UGCOMP_N,integer,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_completer.count
847,DBRR1_FED_UGCOMP_NUM,DBRR1_FED_UGCOMP_NUM,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_completer.numerator
848,DBRR1_FED_UGCOMP_DEN,DBRR1_FED_UGCOMP_DEN,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_completer.denominator
849,DBRR1_FED_UGCOMP_RT,DBRR1_FED_UGCOMP_RT,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_completer.rate
850,DBRR1_FED_UGNOCOMP_N,DBRR1_FED_UGNOCOMP_N,integer,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_noncompleter.count
851,DBRR1_FED_UGNOCOMP_NUM,DBRR1_FED_UGNOCOMP_NUM,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_noncompleter.numerator
852,DBRR1_FED_UGNOCOMP_DEN,DBRR1_FED_UGNOCOMP_DEN,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_noncompleter.denominator
853,DBRR1_FED_UGNOCOMP_RT,DBRR1_FED_UGNOCOMP_RT,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_noncompleter.rate
854,DBRR1_FED_UGUNK_N,DBRR1_FED_UGUNK_N,integer,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_completer_unknown.count
855,DBRR1_FED_UGUNK_NUM,DBRR1_FED_UGUNK_NUM,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_completer_unknown.numerator
856,DBRR1_FED_UGUNK_DEN,DBRR1_FED_UGUNK_DEN,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_completer_unknown.denominator
857,DBRR1_FED_UGUNK_RT,DBRR1_FED_UGUNK_RT,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.ug_completer_unknown.rate
858,DBRR1_FED_GRCOMP_N,DBRR1_FED_GRCOMP_N,integer,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr_completer.count
859,DBRR1_FED_GRCOMP_NUM,DBRR1_FED_GRCOMP_NUM,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr_completer.numerator
860,DBRR1_FED_GRCOMP_DEN,DBRR1_FED_GRCOMP_DEN,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr_completer.denominator
861,DBRR1_FED_GRCOMP_RT,DBRR1_FED_GRCOMP_RT,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr_completer.rate
862,DBRR1_FED_GRNOCOMP_N,DBRR1_FED_GRNOCOMP_N,integer,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr_noncompleter.count
863,DBRR1_FED_GRNOCOMP_NUM,DBRR1_FED_GRNOCOMP_NUM,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr_noncompleter.numerator
864,DBRR1_FED_GRNOCOMP_DEN,DBRR1_FED_GRNOCOMP_DEN,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr_noncompleter.denominator
865,DBRR1_FED_GRNOCOMP_RT,DBRR1_FED_GRNOCOMP_RT,num,repayment,NA,NA,NA,1_yr_db_fed_repayment.gr_noncompleter.rate
